Date,Time,Site,Rep,FQ_ID,FQ_PH,FQ_chl,FQ_ratio,CF_PH,CF_chl,CF_ratio,temperature_C,DO_pct,turbidity,chl_RFU,maramataka,weather_description,water_description,
20/01/2025,10:00,Hannah's Bay ,1,A,0.1,6.7,0.01,1749.2,7104.5,0.24,21.3,102.3,1.4,2.75,Korekore-piri-ki-ng?-Tangaroa ,"Overcast, fine spells. ","Murky, slight wave action with wind. ",
,,,2,,0.1,8.91,0.01,1953.3,7560.6,0.25,,,,,,,,
,,,3,,0.1,8.57,0.01,2092.5,6816.5,0.3,,,,,,,,
,10:40,Te P?hue ,1,,0.1,0.75,0.13,120.9,630.67,0.19,22.2,88.5,0.45,0.31,,,"Clear, little wave action",
,,,2,,0.1,0.35,0.28,29.57,519.35,0.05,,,,,,,,
,,,3,,0.1,0.7,0.14,0.69,602.74,0.001,,,,,,,,
,10:53,Ohau Channel ,1,,0.1,2.77,0.03,265.77,839.96,0.31,20.2,80.6,1.02,0.5,,,"Clear, slight wave action",
,,,2,,0.1,2.22,0.04,440.97,906.26,0.48,,,,,,,,
,,,3,,0.1,1.68,0.05,98.1,2255.6,0.13,,,,,,,,
,11:23,Hamurana (bridge),1,,0.1,2.03,0.04,98.24,558.29,0.17,19.1,146.3,0.79,0.43,,,"Murky, slight wave action with wind. ",
,,,2,,0.1,2.23,0.04,239.72,1004.7,0.23,,,,,,,,
,,,3,,0.1,1.34,0.07,170.98,1013.5,0.16,,,,,,,,
,11:39,Hamurana (West),1,,0.1,1.49,0.06,109.91,509.35,0.21,21.8,124.5,0.6,0.28,,,"Murky, slight wave action with wind. ",
,,,2,,0.1,2.13,0.04,66.6,593.97,0.11,,,,,,,,
,,,3,,0.1,1.98,0.05,92.02,699.59,0.13,,,,,,,,
,11:56,Awahou (Tarimano),1,,64,1.78,35.95,72.12,315.75,0.22,14.7,100.1,0.81,0.07,,,"Clear, little wave action",
,,,2,,17.04,0.94,,92.71,215.45,0.43,,,,,,,,
,,,3,,0.1,2.27,0.04,36.41,167.45,0.21,,,,,,,,
,12:28,Ngongotaha ,1,,0.1,1.48,0.05,425.34,1112.3,0.2,19.5,109.8,2.92,0.41,,,"moderate wave action, murky water",
,,,2,,0.1,2.33,0.06,388.05,1471.4,0.43,,,,,,,,
,,,3,,0.1,1.09,0.05,561.02,1702.2,0.33,,,,,,,,
,,Te Koutou ,1,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,
,12:53,Lake Front ,1,,0.1,9.7,0.01,1555.6,5695.8,0.27,20.9,142.1,3.95,0.77,,,"moderate wave action, murky water",
,,,2,,0.1,7.93,0.01,1572,5353.9,0.2,,,,,,,,
,,,3,,0.1,6.36,0.01,1557,4443.2,0.35,,,,,,,,
,,,,,,,,,,,,,,,,,,
22/01/2025,10:27,Hannah's Bay ,1,A,0.1,5.47,0.01,891.47,9226.6,0.09,20,99.9,11.1,1.93,Tangaroa-?-roto ,"Overcast/fine spells , Southeasterlies","Murky, slight wave action with wind. ",
,,,2,,0.1,7.68,0.01,1021.2,8855,0.11,,,,,,,,
,,,3,,0.1,11.28,0,415.54,3046.7,0.13,,,,,,,,
,10:57,Te P?hue ,1,,0.1,1.14,0.08,132.57,527.75,0.25,20.1,91.8,0.64,0.22,,,"Clear, little wave action",
,,,2,,0.1,0.95,1.1,129.12,564.36,0.1,,,,,,,,
,,,3,,0.1,0.9,0.11,175.13,518.13,0.11,,,,,,,,
,11:14,Ohau Channel ,1,,0.1,3.4,0.02,269.22,440.52,0.61,19.9,91.2,0.85,0.21,,,"Murky (due to swimmers stirring up sediment), slight wave action. ",
,,,2,,0.1,1.68,0.05,878.41,699.81,1.35,,,,,,,,
,,,3,,0.1,3.65,0.02,901.07,3871,0.23,,,,,,,,
,11:37,Hamurana (bridge),1,,54.6,4.54,12.03,622.01,8021.2,0.07,17.5,121.8,4.35,4.53,,,"Murky, high wave action with wind ",
,,,2,,43.65,7.63,5.72,554.96,3684.3,0.15,,,,,,,,
,,,3,,28.78,5.67,5.07,730.78,5433.2,0.13,,,,,,,,
,11:54,Hamurana (West),1,,46,4.13,9.72,372.92,1485.4,0.25,19.2,103.8,11.37,1,,,"Murky, high wave action with wind ",
,,,2,,17.82,3.95,4.51,462.94,1700.9,0.27,,,,,,,,
,,,3,,49.13,2.57,19.11,393.58,1397.3,0.28,,,,,,,,
,,Awahou (Tarimano),1,,,,,,,,,,,,,,,
,,,2,,,,Temporary road closure to sample site ,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,
,12:21,Ngongotaha ,1,,10.78,4.75,2.25,455.34,1622.3,0.28,18.7,111.3,3.82,0.51,,,"moderate wave action, murky water",
,,,2,,0.1,3.75,0.02,388.05,1471.4,0.26,,,,,,,,
,,,3,,6.25,11.72,0.53,581.07,1712.2,0.33,,,,,,,,
,12:40,Te Koutu ,1,,0.1,2.13,0.04,585.15,2026.2,0.28,20.8,109,1.26,0.62,,,"moderate wave action, murky water",
,,,2,,0.1,4,0.02,320.07,1545.6,0.2,,,,,,,,
,,,3,,19.39,2.22,8.73,407.25,2622.4,0.15,,,,,,,,
,13:05,Lake Front ,1,,46,0.75,61.33,175.82,730.04,0.24,23,102.8,1.61,0.41,,,"moderate wave action, murky water",
,,,2,,0.1,1.83,0.05,284.35,1061.5,0.26,,,,,,,,
,,,3,,0.1,1.02,0.06,180.66,922.18,0.19,,,,,,,,
,,,,,,,,,,,,,,,,,,
24/01/2025,11:02,Hannah's Bay ,1,A,0.1,1.18,0.05,339.97,1262.1,0.27,21.8,96.6,1.14,1.01,?tane ,"Finespells, light winds ","Murky, lake weed wash up, moderate wave action ",
,,,2,,0.1,3.45,0.02,266.46,1699.1,0.16,,,,,,,,
,,,3,,0.1,4.29,0.02,302.87,1677.3,0.18,,,,,,,,
,11:36,Te P?hue ,1,,0.1,2.37,0.04,162.07,1828.2,0.09,21.5,96.5,2.91,0.59,,,"clear, flat ",
,,,2,,0.1,3.5,0.02,243.8,2102.1,0.12,,,,,,,,
,,,3,,0.1,2.22,0.04,192.33,1863.9,0.10,,,,,,,,
,11:51,Ohau Channel ,1,,0.1,4.24,0.02,287.12,2264.3,0.13,22.3,111,3.04,0.65,,,"Clear, flat. ",
,,,2,,0.1,2.86,0.03,512.33,2196.3,0.23,,,,,,,,
,,,3,,20.95,3.85,5.44,1950.5,2822.6,0.51,,,,,,,,
,12:27,Hamurana (bridge),1,,42.86,5.32,8.05,515.79,2598.4,8.05,23,138.6,2.07,1.61,,,"Murky, high wave action with wind ",
,,,2,,20.17,4.44,4.54,473.95,2100.3,4.54,,,,,,,,
,,,3,,0.1,4.83,0.02,427.91,3043.3,0.02,,,,,,,,
,12:44,Hamurana (West),1,,0.1,4.34,0.02,808.36,2257.3,0.35,24.2,118,6.5,1.3,,,"Murky, high wave action with wind ",
,,,2,,0.1,4.88,0.02,662.11,2859.2,0.23,,,,,,,,
,,,3,,0.76,4.19,0.41,547.36,2295.7,0.23,,,,,,,,
,13:06,Awahou (Tarimano),1,,0.1,0.11,0.11,89.95,2295.7,0.24,15.7,97.8,1.04,0.13,,,"Clear, slight wave action ",
,,,2,,22.47,0.75,0.13,56.3,371.6,0.2,,,,,,,,
,,,3,,34.26,0.55,15.45,113.99,274.76,0.4,,,,,,,,
,13:31,Ngongotaha ,1,,0.1,3.65,0.02,133.26,960.34,0.13,24.7,116.4,1.43,0.58,,,"Murky, slight wave action ",
,,,2,,33.47,2.96,11.3,217.06,1691.3,0.12,,,,,,,,
,,,3,,34.26,1.59,21.54,225.28,1196.7,0.18,,,,,,,,
,13:56,Te Koutu ,1,,46.78,2.47,18.93,57.69,432.68,0.13,25.3,129.2,1.43,0.58,,,"Murky, moderate wave action ",
,,,2,,20.95,0.85,24.95,166.22,566.68,0.29,,,,,,,,
,,,3,,28,0.85,32.94,26.11,431.75,0.06,,,,,,,,
,10:23,Lake Front ,1,,0.1,1.34,0.07,63.9,641.13,0.0997,22.2,96.5,0.78,0.19,,,"Murky, high wave action, lake weed build up on shore ",
,,,2,,0.1,1.39,0.07,92.02,839.12,0.1097,,,,,,,,
,,,3,,0.1,2.47,0.04,143.56,811.19,0.177,,,,,,,,
,,,,,,,,,,,,,,,,,,
27/01/2025,,,,,,,Waitangi Day ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
29/01/2025,9:40,Hannah's Bay ,1,A,0.1,4.58,0.02,598.2,2865.3,0.22,21.6,97.4,1.35,1,Tapikiora,"Overcast, slight winds ","Murky,  lake weed build up on shore,  moderate wave action ",
,,,2,,0.1,3.92,0.02,395.58,3284.9,0.12,,,,,,,,
,,,3,,0.1,5.05,0.02,4715.63,3199.3,0.14,,,,,,,,
,10:10,Te P?hue ,1,A,0.1,1.44,0.06,239.72,1140,0.21,21.5,96.5,1.6,0.52,,,"Clear, slight wave action ",
,,,2,,0.1,2.08,0.05,395.58,992.65,0.39,,,,,,,,
,,,3,,0.1,1.29,0.05,205.39,1043.1,0.19,,,,,,,,
,,,1,B,0.1,1.7,0.05,,,,,,,,,,,
,,,2,,0.1,1.7,0.06,,,,,,,,,,,
,,,3,,0.1,1.29,0.07,,,,,,,,,,,
,10:45,Ohau Channel ,1,A,0.1,5.22,0.01,365.39,1338,0.27,20.6,92.2,2.06,0.86,,,"Clear, moderate wave action ",
,,,2,,0.1,1.73,0.05,410.02,2077.6,0.19,,,,,,,,
,,,3,,0.1,3.7,0.02,599.44,2652.4,0.22,,,,,,,,
,,,1,B,0.1,8.98,0.01,,,,,,,,,,,
,,,2,,0.1,2.98,0.03,,,,,,,,,,,
,,,3,,0.1,5.85,0.02,,,,,,,,,,,
,11:05,Hamurana (East),1,A,0.1,10.64,0,1475.3,4139.7,0.35,20.8,98.7,4.02,2.39,,,"Murky, slight wave action, lake weed build up on shore ",
,,,2,,0.1,6.06,0.01,1470.4,7478.6,0.19,,,,,,,,
,,,3,,0.1,11.77,0,1416.9,5196.8,0.27,,,,,,,,
,,,1,B,0.1,8.98,0.01,,,,,,,,,,,
,,,2,,0.1,8.36,0.01,,,,,,,,,,,
,,,3,,0.1,7.23,0.01,,,,,,,,,,,
,11:30,Hamurana (bridge),1,A,0.1,3.85,0.02,331.74,2767.6,0.11,20.4,104.9,1.22,0.5,,,"Murky, high wave action, lake weed build up on shore (stinky!!!) ",
,,,2,,0.1,2.13,0.04,465.01,4689.2,0.09,,,,,,,,
,,,3,,0.1,2.62,0.03,484.21,2022.7,0.23,,,,,,,,
,,,1,B,0.1,2.32,0.04,,,,,,,,,,,
,,,2,,0.1,2.01,0.04,,,,,,,,,,,
,,,3,,0.1,3.41,0.02,,,,,,,,,,,
,11:45,Hamurana (West),1,A,0.1,0.85,0.11,258.93,2158.8,0.11,22.3,104.1,0.59,0.44,,,"Murky, high wave action, lake weed build up on shore. ",
,,,2,,0.1,1.24,0.08,170.36,937.64,0.18,,,,,,,,
,,,3,,0.1,1.63,0.06,280.9,1740.1,0.16,,,,,,,,
,,,1,B,0.1,1.62,0.06,,,,,,,,,,,
,,,2,,0.1,2.51,0.03,,,,,,,,,,,
,,,3,,0.1,2.4,0.04,,,,,,,,,,,
,12:07,Awahou (Tarimano),1,A,0.1,0.05,2,0,0,0,14.2,94.5,1.12,0.06,,,"Clear, flat. ",
,,,2,,0.1,0.05,2,0,0,0,,,,,,,,
,,,3,,0.1,0,,0,0,0,,,,,,,,
,,,1,B,0.1,0.41,0.24,,,,,,,,,,,
,,,2,,0.1,0.37,0.27,,,,,,,,,,,
,,,3,,0.1,0.1,1,,,,,,,,,,,
,12:30,Ngongotaha ,1,A,0.1,2.13,0.04,146.32,987.58,0.16,20.8,111.2,0.71,0.35,,,"Murky but slightly clear?, moderate wave action. ",
,,,2,,0.1,1.14,0.08,175.13,1524.7,0.11,,,,,,,,
,,,3,,0.1,1,0.1,159.31,1688.6,0.09,,,,,,,,
,,,1,B,0.1,1.66,0.06,,,,,,,,,,,
,,,2,,0.1,1.54,0.06,,,,,,,,,,,
,,,3,,0.1,1.66,0.06,,,,,,,,,,,
,13:00,Te Koutu ,1,A,0.1,2.08,0.04,122.97,1295.3,0.09,22.7,117.7,1.04,0.43,,,"Clear-ish, moderate wave action. ",
,,,2,,0.1,2.57,0.03,197.79,1351,0.14,,,,,,,,
,,,3,,0.1,1.88,0.05,217.06,1119.1,0.19,,,,,,,,
,,,1,B,0.1,1.62,0.06,,,,,,,,,,,
,,,2,,0.1,1.93,0.05,,,,,,,,,,,
,,,3,,0.1,2.16,0.06,,,,,,,,,,,
,13:30,Lake Front ,1,A,5.5,4.93,1.11,257.25,1097.3,0.22,21.2,115.8,1.34,0.4,,,"Murky, moderate wave action, lake weed build up on shore ",
,,,2,,0.1,2.03,0.04,294.65,1255.1,0.23,,,,,,,,
,,,3,,0.1,2.13,0.04,204.7,983.87,0.2,,,,,,,,
,,,1,B,0.1,2.36,0.04,,,,,,,,,,,
,,,2,,0.1,2.94,0.03,,,,,,,,,,,
,,,3,,0.1,2.16,0.04,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
31/01/2025,10:40,Hannah's Bay ,1,A,0.1,7.09,0.01,703.28,3743.6,0.18,23.3,97.1,0.98,2.31,?tirea,"Moderately fine, slight winds ","Murky, moderate wave action",
,,,2,,0.1,7.49,0.07,813.2,4579.3,0.17,,,,,,,,
,,,3,,0.1,6.31,0.01,768.57,4096.9,0.18,,,,,,,,
,11:20,Te P?hue ,1,,0.1,2.22,0.04,270,1462.7,0.18,23,102,1.26,1.09,,,"Clear, flat ",
,,,2,,0.1,2.37,0.03,361.93,2034.9,0.17,,,,,,,,
,,,3,,0.1,2.42,0.04,318.69,1749.7,0.18,,,,,,,,
,11:47,Ohau Channel ,1,,0.1,22.2,0.04,128.43,460.34,0.13,22.5,103.3,0.81,0.46,,,"Clear, slight wave action ",
,,,2,,0.1,1.19,0.08,297.41,1140.8,0.26,,,,,,,,
,,,3,,0.1,0.8,0.12,102.31,935.03,0.19,,,,,,,,
,11:50,Hamurana (East),1,,,,,,,,20,99,3.91,2.3,,,"Murky, flat, lake weed wash up on shore ",
,,,2,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,
,12:13,Hamurana (bridge),1,,22.52,1.44,15.63,229.43,2207.6,0.1,22.7,97.2,1.14,0.53,,,"Murky, moderate wave action, lake weed wash up on shore ",
,,,2,,0.03,2.62,0.03,403.87,2596.7,0.15,,,,,,,,
,,,3,,0.1,2.47,0.04,249.33,1236,0.2,,,,,,,,
,12:30,Hamurana (West),1,,0.1,2.27,0.04,814.58,2879.3,0.28,23.8,107.4,0.57,0.81,,,"Murky, moderate wave action, dried up lake weed on shore ",
,,,2,,0.1,4.98,0.02,264.46,2144.9,0.12,,,,,,,,
,,,3,,0.1,1.54,0.06,476.68,3353.7,0.14,,,,,,,,
,12:50,Awahou (Tarimano),1,,29.56,1.39,21.56,186.8,698.66,0.26,15.6,99,1.16,0.09,,,"clear, flat.",
,,,2,,0.1,1.14,0.08,109.22,421.29,0.25,,,,,,,,
,,,3,,0.1,1.39,0.07,84.49,443.98,0.19,,,,,,,,
,13:10,Ngongotaha ,1,,0.1,4.98,0.02,278.07,804.97,0.28,23.2,112,1.03,0.91,,,"Murky, slight wave action",
,,,2,,0.1,6.16,0.01,800.83,4201.6,0.19,,,,,,,,
,,,3,,0.1,4.49,0.02,1132.5,5348.6,0.21,,,,,,,,
,13:35,Te Koutu ,1,,0.1,,,,,,26,122,1.3,0.79,,,"Murky, slight wave action ",
,,,2,,0.1,,,,,,,,,,,,,
,,,3,,0.1,,,,,,,,,,,,,
,13:50,Lake Front ,1,,0.1,2.22,0.04,433.37,2097.7,0.2,27.5,170.2,3.24,2.76,,,"murky, moderate wave action, lake weed wash up ",
,,,2,,0.1,2.27,0.04,548.74,2422.2,0.22,,,,,,,,
,,,3,,0.1,2.81,0.03,515.79,1911.1,0.26,,,,,,,,
,,,,,,,,,,,,,,,,,,
3/2/2025,10:30,Hannah's Bay ,1,A,0.1,2.62,0.03,164.15,1332.3,0.21,22.1,93.4,0.79,0.75,Okorot?tea ,"Finespells, light winds ","Moderate wave action, murky",
,,,2,,0.1,2.72,0.03,287.12,1301.4,0.22,,,,,,,,
,,,3,,0.1,1.39,0.07,291.57,1440.9,0.2,,,,,,,,
,11:00,Te P?hue ,1,,0.1,2.47,0.04,315.23,1639,0.19,22.9,96.4,1.24,0.84,,,"Slight wave action, clear ",
,,,2,,0.1,2.23,0.04,397.65,2006.2,0.19,,,,,,,,
,,,3,,0.1,2.57,0.03,413.47,1653.7,0.25,,,,,,,,
,11:30,Ohau Channel ,1,,3.25,3.06,1.06,559.72,3088.6,0.18,21.8,93.6,0.76,0.82,,,"Slight wave action, clear ",
,,,2,,0.1,2.37,0.04,459.48,3831.8,0.11,,,,,,,,
,,,3,,0.1,1.83,0.05,533.68,3193.3,0.16,,,,,,,,
,12:00,Hamurana (East),1,,9.25,2.27,4.07,571.4,2004.4,0.28,23,98.8,1.87,1.01,,,"Cloudy but can still see lake bed, flat.",
,,,2,,14.69,1.96,7.41,344.8,1645,0.2,,,,,,,,
,,,3,,33.47,2.62,12.71,602.35,2204.4,0.27,,,,,,,,
,12:30,Hamurana (bridge),1,,26.43,2.98,8.92,614.02,2566.1,0.23,22.6,123.6,2.68,1.28,,,"Murky, slight wave action ",
,,,2,,0.1,2.81,0.08,607.12,3386.9,0.17,,,,,,,,
,,,3,,1,2.37,0.42,538.48,2395.1,0.22,,,,,,,,
,12:57,Hamurana (West),1,,0.1,2.67,0.03,755.51,3556.1,0.21,24.2,112.1,2.44,2.07,,,"Murky, slight wave action",
,,,2,,0.1,3.6,0.02,732.16,4301.9,0.17,,,,,,,,
,,,3,,0.1,2.42,0.04,894.23,4212.1,0.21,,,,,,,,
,13:27,Awahou (Tarimano),1,,0.1,1.24,0.08,114.68,224.14,0.51,15,99,0.28,0.05,,,"clear, slight wave action ",
,,,2,,13.91,0.03,46.36,129.12,188.37,0.68,,,,,,,,
,,,3,,33.47,0.3,111.56,97.55,164.83,0.59,,,,,,,,
,13:45,Ngongotaha ,1,,19.39,2.72,7.12,212.23,1388.6,0.15,23.6,122.1,1.3,0.84,,,Moderate wave action. murky-ish? (cloudy) ,
,,,2,,0.1,2.27,0.04,275.44,1433,0.19,,,,,,,,
,,,3,,0.1,1.88,0.05,299.48,1510.7,0.19,,,,,,,,
,14:10,Te Koutu ,1,,0.1,1.39,0.07,250.02,250.02,0.16,25.7,143.1,0.72,0.49,,,"Moderate Wave action, clear to cloudy looking water? ",
,,,2,,0.1,1.63,0.05,234.2,234.2,0.21,,,,,,,,
,,,3,,0.1,1.68,0.05,267.15,267.15,0.27,,,,,,,,
,14:34,Lake Front ,1,,0.1,3.4,0.02,427.91,2533,0.16,28.6,146.6,2.16,1.1,,,"Murky, moderate wave action, light winds. ",
